title,topics,pv,upvote_num
4 月 24 日上海新增确诊 2472 例、无症状16983 例、死亡 51 例，目前当地情况如何？,上海 医疗 医疗卫生,11883405,45678
如何看待沪指跌超 5% 失守 3000 点，760 多只个股跌停？受哪些因素影响？,股票 股票市场 A股（人民币普通股票）,17792277,77313
职业教育法大修，5 月 1 日起施行，关于普职分流有哪些变化？,法律 教育 职业教育,6786513,23382
乌克兰删除反法西斯宣传片中和希特勒、墨索里尼并列的日本天皇，并向日本道歉，意味着什么？,日本天皇 乌克兰 热点话题,7064504,53494
4 月 23 日上海新增确诊 1401 例、无症状 19657 例、死亡 39 例，目前当地情况如何？,上海 上海生活 新型冠状病毒,14584670,52171
如何看待一犯罪团伙大量回收小米 11 二手机，利用非常规手段「烧 WiFi」，然后换新赚差价而获刑？,小米科技 小米手机 二手手机,4434440,11089
自 5 月 1 日起泰国免核酸向全球游客开放，此举会带来哪些影响？,旅行 国际 泰国,5000212,19627
如何看待买 150 份扣肉打假人再发声，称「卖房卖车都不撤诉，判赔的款项会捐出去」？,法律 食品安全 民事案件,4905328,29217
西安交大一学生因在音乐鉴赏课上讲解并宣传游戏《原神》的音乐而被同学挂，如何看待这一冲突？,游戏 手机游戏 游戏音乐,6900339,43465
如何看待国家要建设小行星防御系统？,美国 军事 航天,4528976,17000
马克龙赢得 2022 年法国总统选举，有哪些信息值得关注？,法国 法国历史 法国大选,3013163,8730
苹果称「不送充电器已节省 55 万吨矿石」，你认同苹果的这种节约精神吗？,苹果产品 iPhone 苹果公司 (Apple Inc.),3188108,32422
如何看待 4 月 25 日 A 股大跌，大盘跌破 3000 点？,财经 股票 股票市场,3457879,8553
张文宏接受媒体采访时表示，高龄患者与基础疾病患者的病故，是上海救治最大挑战，如何看待这一判断？,上海 人民日报 疫情影响,3588254,39074
福禄寿乐队成员之一杜雪儿因涉嫌犯走私毒品罪被抓，还有哪些信息值得关注？会对他们产生哪些影响？,法律 乐队 毒品,4306600,19559
假如俄罗斯向乌克兰扔一颗原子弹，会有什么后果？,俄罗斯 原子弹 乌克兰,3708886,6308
在大城市住在超高层（40F以上）是一种什么样的体验？,重庆 豪宅 重庆生活,4629585,8500
2022 年应届毕业生人数首次突破了一千万，规模创历史新高，这对大学生就业造成什么影响？,求职 应届毕业生 应届毕业生就业,3130439,9410
人民币兑美元中间价报 6.4909，下调 313 个基点，背后都有哪些原因？还有哪些信息值得关注？,人民币 人民币贬值 人民币汇率,2641360,8093
Jackeylove 在 2022 LPL 春季总决赛为什么总是不用闪现？,英雄联盟（LoL） LPL JackeyLove（电竞选手）,1927756,4225
为什么「五一调休」冲上了热搜?,放假 法定假期 放假调休,14803948,132970
苹果 App Store 将下架长期不更新的应用程序，此举背后都有哪些原因？,Apple Store 商业策略 苹果公司 (Apple Inc.),1529642,5792
北京 23 日 16 时至 24 日 16 时新增本土感染者 21 例，本轮疫情传播有何特点 ？,热门新闻 北京 热点话题,1524894,3608
为什么 2021 年骂谏山创《进击的巨人》结尾的这么多，今年又有这么多人说他的结尾封神?,日本漫画 进击的巨人（漫画） 谏山创,1525644,5289
如何看待莫言最近暗示自己名气早不如当年，莫言在这代 00 后年轻人中是否真的火不起来了？,心理学 作家 文学,1666882,11207
网传微信「分割上海的朋友圈」为不实消息，造谣者出于什么心理？需要承担什么责任？,互联网 上海 谣言,4739358,22297
4 月 25 日降准正式落地，释放 5300 亿长期资金，将带来哪些影响？,财经 商业 资金,2626793,11657
如何看待新裤子庞宽直播行为艺术，被传谣成王思聪在方舱隔离?,医院 行为艺术 王思聪,1550949,2208
反诈警官老陈辞职后称「我做了一个错误的决定」，有哪些信息值得关注？,互联网 警察 直播,9857515,32884
媒体报道，中国首次公布了「鹰击-21」高超音速导弹，「鹰击-21」的出现意味着什么？,军事 国际政治 海军,11658670,53124
美国著名男演员德普指控前妻家暴和诽谤自己，如何看待这一舆论的反转？,美国 家庭暴力 约翰尼·戴普 （Johnny Depp）,2647592,9523
今年（2021年）五一调休，为什么这么多人吐槽？,五一 放假 加班文化,20682828,188900
一黄码男子 25 天没做核酸被罚 200 元，起到了哪些警示作用？,健康 社会 南昌,3308887,19133
4 月 24 日北京新增 14 例本土确诊病例、5 例本土无症状感染者，目前当地情况如何？,北京 北京生活 传染病,899963,1350
南京理工大学出现猴子虐杀猫狗事件，具体情况如何？,猫 狗 社会,1005724,3761
给你 10 亿人民币，但之后的每月都将你随机传送到中国陆地上任意地点，你愿不愿意？,地理 地理学 中国地理,7812049,54123
人类为什么更喜欢和长相好看的人交配繁衍？如何从生物学的角度解释这个问题？,生物进化 心理学 进化,5163858,12858
有哪些保质期特别长能当救济粮的食物?,健康 生活 食物,1401535,5194
为什么现在越来越多的国产剧不接地气了？,电视剧 中国剧集 中国影视,9865073,46360
上海一季度 GDP 增 3.1%，居民人均可支配收入 22663 元，增 5.2%，哪些信息值得关注？,上海 社会 收入,1030983,3192
上海本轮疫情和深圳疫情起点时间相近，为何深圳较快的控制住了疫情？两地防控政策有何不同？,上海 深圳市 疫情影响,5471716,22809
江苏一幼童被锁车内家长拒绝破窗等开锁，家长的行为可能造成哪些严重后果？,法律 儿童 安全,947672,4382
国产武侠游戏《太吾绘卷》正式版定档 9 月 21 日，你有哪些期待？,独立游戏 国产游戏 国产单机游戏,1287724,2586
貂蝉那么美，王允为什么不把她占为己有，而是把她献出使连环计？,四大名著 三国演义（书籍） 三国演义（电视剧）,12239317,21290
环球影城内威震天怒批竖中指男孩「丢的是你妈妈的脸」，在公共场所家长是否该加强对孩子的约束力？该怎么做？,儿童教育 孩子 亲子关系,5205498,17588
我国将着手组建近地小行星防御系统，这对我国航天行业意味着什么？,天文学 航天 小行星,903522,5999
"如何评价央视""美国将与俄战斗到只剩最后一个乌克兰人""?",俄罗斯 乌克兰,3717315,31811
今年高校毕业生人数首破千万，媒体报道人工智能岗位毕业生月工资 23960 元，有哪些值得关注的信息？,职场 机器学习 社会,742137,1926
四千多万人口只有一所双一流大学-云南大学，云南教育到底差在哪里？,教育 云南 云南大学,979548,2537
余承东谈天价汽车芯片「20 块钱芯片炒到 2500 元一枚，太贵了自己无法接受」，如何看待这一说法？,汽车 科技 芯片（集成电路）,2004597,3755
你们见过的最聪明的女生有多聪明？,生活 智商 聪明,42803036,112198
如何看待东航遇难者游戏账号被骗取并贩卖？该行为可能会承担哪些法律责任？,游戏 心理 英雄联盟（LoL）,879659,3289
为什么米哈游的游戏要让非中国人当主角？,崩坏3（游戏） 米哈游miHoYo 原神,1004654,5666
一男子在美国最高法院大楼外自焚身亡，目前原因尚未知悉，有哪些信息值得关注？,法律 美国 国际,3241410,46165
上海奉贤街边垃圾箱出现被丢弃的辽宁援助蔬菜包，真实情况如何？,上海 上海疫情 上海疫情下的抢菜焦虑,5334246,68185
如何看待原神早柚cv对称呼自己为早柚的粉丝进行移除？,原神,1732428,12767
21-22 NBA 季后赛首轮，掘金扳回一城 1:3 勇士，约基奇 37+8+6，如何评价这场比赛？,NBA 篮球 丹佛掘金（Denver Nuggets）,522004,1636
如何看待《丁香医生 披着科学外衣的美国财狼》这篇评说丁香医生的文章？,中医 丁香园 医学,3694720,36033
泽连斯基又向北约要1000亿美元援助，乌克兰会坚持反侵略到底吗？,俄罗斯 苏联 国际战争,743049,4367
国家航天局表示「我国将着手组建近地小行星防御系统」，哪些信息值得关注？,热门新闻 科技 太空,519361,2114
如何看待两部委发布通知称「没有发生疫情地区严禁以防疫为由不让农民下地」？将会带来哪些影响？,社会 农业 社会民生,1808596,13825
如果穿越到21号早晨，有什么办法可以挽救MU5735？,飞机 民航 穿越,4668821,8254
唐山警方通报「李某某非法开设补习班隐瞒不报致多人阳性」，目前事件进展如何？李某某需要负什么法律责任？,法律 唐山 疫情影响,706369,1314
当一个人资产达到一亿元人民币以上，不作妖，不赌博，正常经营正常投资，有多大可能再次返贫？,投资 资产 资产荒,5147357,1640
aespa 科切拉饭拍已经出来了，如何评价表现?,舞台 韩团 科切拉音乐艺术节（Coachella）,1608400,9916
新一代留学生看待祖国的态度是什么样的?,留学 留学生 海归,9857029,104623
最近有人开始囤粮食了，有必要吗？,生活 经济 中国经济,14175758,51356
乌军拿平民作人质、盾牌，那怎么之前乌军会放基辅市民外逃，以至于现在俄军走后每天有 5 万平民返回基辅？,俄罗斯 乌克兰 乌克兰局势,1746363,12695
作为上海疫情的亲历者，你感受过哪些来自陌生人的善意？有哪些经历想要分享？,上海 社会 疫情影响,759973,4933
如何评价刘畊宏？,明星 刘畊宏 刘畊宏女孩,4948531,8686
在岸、离岸人民币对美元即期汇率双双跌破 6.5，哪些原因造成人民币贬值？将会带来哪些影响？,投资 股票 人民币,7162865,18557
有哪些明星颜值被吹上天你却觉得丑？,娱乐 明星 娱乐圈,27550043,180765
英国不明原因幼儿肝炎升至 108 例，77% 检测呈腺病毒阳性，这意味什么？还有哪些信息值得关注？,英国 乙型肝炎 肝炎,6596104,25387
炫富真的很爽吗？,心理 炫富 有钱人,212418363,1272069
美国这次会不会崩溃？,美国 经济 经济学,34622618,353655
山东烟台病例基因分型为奥密克戎 BA.2.3 进化分支，目前国内尚未发现 ，防控有哪些事项需要注意？,基因 疫情影响 新冠疫情,725121,1888
有没有人装逼正好撞到你擅长的领域上的？,生活 社会心理 裝腔,460495001,4655733
最近好多关于上海疫情的负面消息，那么现在上海疫情真实情况什么呢？,上海 上海生活 瘟疫,14240789,99775
福建高校一女生连续 9 个月偷拍室友私密照发男友，学校给予记过处分，如何看待此事？从法律角度如何解读？,法律 隐私 高校,8087215,33711
4 月 24 日 16 时到 25 日 16 时，北京新增 29 例确诊病例，目前情况如何？,北京 北京生活 新型冠状病毒,702840,1367
